美術の物語,★
西洋音楽史,
イラストで読むギリシア神話の人々,★
仏教思想のゼロポイント,
How Google Works,★
現代英文法講義,
言語哲学大全,
アニメの醒めない魔法,
コンピュータシステムの理論と実装,
CPUの創り方,
ソクラテスの弁明,★
やがて哀しき外国語,
比較歴史精度分析,
利己的な遺伝子,
財務3表一体理解法,
RUNNIG LEAN,
Google流 資料作成術,
脳の大統一理論,
選挙制を疑う,
ベーシックインカムを問い直す,
アイデアのつくり方,
へんな日本美術史,
kludge 脳はありあわせの材料から生まれる,
アルゴリズムイントロダクション,
どもる体,
食べることと出すこと,
前置詞byの意味を知っているとはどういうことなのか,
完全教祖マニュアル,
イシューからはじめよ,
ファスト&スロー,
嫌われる勇気,
サピエンス全史,★
論理哲学論考,★
史上最強の哲学入門,
イノベーションのジレンマ,
お金2.0,
君に友だちはいらない,
非線形ダイナミクスとカオス,
save the catの法則,
世界一やさしい株の本,
文章読本さん江,
語りえぬものを語る,★
方法序説,
ニコマコス倫理学,
本を読む本,
読書について,
日露戦争、資金調達の戦い,
心の哲学入門,
小説の精神,★
人間この劇的なるもの,
エネルギーの人類史,★
寝ながら学べる構造主義,
日本文学史序説,
共生の作法,★
<効果的な利他主義>宣言!,★
